"gender","age","points","deep","surf","stra","attitude"
"F",53,25,3.58333333333333,2.58333333333333,3.375,3.7
"M",55,12,2.91666666666667,3.16666666666667,2.75,3.1
"F",49,24,3.5,2.25,3.625,2.5
"M",53,10,3.5,2.25,3.125,3.5
"M",49,22,3.66666666666667,2.83333333333333,3.625,3.7
"F",38,21,4.75,2.41666666666667,3.625,3.8
"M",50,21,3.83333333333333,1.91666666666667,2.25,3.5
"F",37,31,3.25,2.83333333333333,4,2.9
"M",37,24,4.33333333333333,2.16666666666667,4.25,3.8
"F",42,26,4,3,3.5,2.1
"M",37,31,3.58333333333333,2.66666666666667,3.625,3.9
"F",34,31,3.83333333333333,2.41666666666667,4.75,3.8
"F",34,23,4.25,2.25,3.625,2.4
"F",34,25,3.33333333333333,2.75,3.5,3
"M",35,21,4.16666666666667,2.33333333333333,1.75,2.6
"F",33,31,3.66666666666667,2.33333333333333,3.875,4.1
"F",32,20,4.08333333333333,2.91666666666667,1.375,2.6
"F",44,22,3.5,2.5,3.25,2.6
"M",29,9,4.08333333333333,3.75,3,1.7
"F",30,24,4,2.75,3.75,2.7
"M",27,28,3.91666666666667,2.33333333333333,2.625,3.9
"M",29,30,4,2.41666666666667,2.375,3.4
"F",31,24,4,3,3.625,2.7
"F",37,9,3.66666666666667,2.41666666666667,2.75,2.3
"F",26,26,3.66666666666667,2.83333333333333,1.75,3.7
"F",26,32,4.41666666666667,3.16666666666667,3.25,4.4
"M",30,32,3.91666666666667,3,4,4.1
"F",33,33,3.75,2,3.625,3.7
"F",33,29,3.25,3.5,2.875,2.5
"M",28,30,3.58333333333333,3.75,3,3
"M",26,19,4.91666666666667,2.5,1.625,3.4
"F",27,23,3.58333333333333,2.08333333333333,3.25,3.2
"F",25,19,2.91666666666667,2.41666666666667,3.5,2
"F",31,12,3.66666666666667,2.58333333333333,3,2.4
"M",20,10,4.5,1.58333333333333,3.25,4.2
"F",39,11,4.08333333333333,2.83333333333333,1.875,1.6
"M",38,20,3.83333333333333,1.83333333333333,4.375,3.1
"M",24,26,3.25,2.41666666666667,3.625,3.8
"M",26,31,2.33333333333333,3.25,2.5,3.8
"M",25,20,3.33333333333333,3.41666666666667,1.25,3.3
"F",30,23,4.08333333333333,3.41666666666667,4,1.7
"F",25,12,2.91666666666667,3.16666666666667,3,2.5
"M",30,24,3.33333333333333,3.5,2.5,3.2
"F",48,17,3.83333333333333,2.66666666666667,4.875,3.5
"F",24,29,3.66666666666667,2.41666666666667,5,3.2
"F",40,23,4.66666666666667,3.58333333333333,4.375,4.2
"M",25,28,3.75,2.08333333333333,3.25,3.1
"F",23,31,3.41666666666667,3.75,4,3.9
"F",25,23,4.16666666666667,2.91666666666667,3.125,1.9
"F",23,25,2.91666666666667,2.91666666666667,2.5,2.1
"M",27,18,4.16666666666667,2.41666666666667,3.125,2.5
"M",25,19,3.58333333333333,3,3.25,3.2
"M",23,22,2.83333333333333,3.41666666666667,2.125,3.2
"F",23,25,4,2.91666666666667,2.75,2.6
"F",23,21,2.91666666666667,3.25,2.375,2.3
"F",45,9,3,3.25,3.125,3.8
"F",22,28,4.08333333333333,2.33333333333333,4,2.8
"F",23,25,2.91666666666667,3.25,4,3.3
"M",21,29,3.5,2.5,2.25,4.8
"M",21,33,4.33333333333333,1.75,3.25,4
"F",21,33,4.25,2.25,3.625,4
"F",21,25,3.41666666666667,2.08333333333333,3.625,4.7
"F",26,18,3.08333333333333,2.83333333333333,2.5,2.3
"F",25,22,4.58333333333333,2.83333333333333,1.875,3.1
"F",26,17,3.41666666666667,2.41666666666667,2,2.7
"M",21,25,3.41666666666667,2.25,1.875,4.1
"F",23,28,3.41666666666667,2.83333333333333,4,3.4
"F",22,22,3.58333333333333,2.25,2.875,2.5
"F",22,26,1.58333333333333,1.83333333333333,3.875,2.1
"F",22,11,3.33333333333333,2.91666666666667,2.5,1.4
"F",23,29,4.33333333333333,2.91666666666667,2.75,1.9
"M",22,22,4.41666666666667,2.08333333333333,4.5,3.7
"M",23,21,4.83333333333333,2.33333333333333,3.375,3.2
"M",24,28,3.08333333333333,2.41666666666667,2.625,2.8
"F",22,33,3,2.75,4.125,4.1
"F",23,16,4.08333333333333,3.25,2.625,2.5
"M",22,31,4.08333333333333,1.75,2.25,2.8
"M",20,22,3.75,2.58333333333333,2.75,3.8
"M",22,31,3.08333333333333,3.33333333333333,3,3.1
"M",21,23,4.75,2.83333333333333,1.625,3.5
"F",22,26,4.25,2.5,1.875,3.6
"F",23,12,4.16666666666667,2.41666666666667,3.375,2.6
"M",21,26,4.41666666666667,2.41666666666667,3.75,4.4
"M",22,31,3.83333333333333,2.58333333333333,2.125,4.5
"M",29,19,3.33333333333333,3,2.375,3.2
"F",29,30,3.16666666666667,2,2.75,3.9
"F",21,12,3.16666666666667,3.41666666666667,3.125,2.5
"M",28,17,3.83333333333333,2.83333333333333,3.5,3.3
"F",21,18,4.25,2.25,2.625,3.3
"F",30,19,3.83333333333333,2.75,3.375,3
"F",21,21,3.66666666666667,3.91666666666667,2.25,2.9
"M",23,24,3.83333333333333,2.33333333333333,3,3.3
"F",21,28,3.83333333333333,2.75,4,3.3
"F",21,17,3.83333333333333,2.75,3.5,3.5
"F",20,18,3.66666666666667,2.91666666666667,2.625,3.6
"M",22,17,4.33333333333333,2.08333333333333,2.5,3.7
"M",21,23,3.75,3.66666666666667,3.75,4.2
"M",21,26,4.16666666666667,2.83333333333333,3.625,3.2
"F",20,28,4,3.41666666666667,4.125,5
"M",22,31,4,1.58333333333333,4.375,4.7
"F",20,27,4.58333333333333,2.91666666666667,2.625,3.6
"F",20,25,3.66666666666667,3,4,3.6
"M",24,23,3.66666666666667,2.91666666666667,2.75,2.9
"F",20,21,3.83333333333333,2.66666666666667,2.75,3.5
"F",19,27,2.58333333333333,3,1.375,4
"F",21,28,3.5,2.75,2.25,3.5
"F",21,23,3.08333333333333,3.08333333333333,3.625,3.2
"F",22,21,4.25,2.5,3.75,2.6
"F",25,25,3.16666666666667,2.33333333333333,4,2
"F",21,11,3.08333333333333,3,3.125,2.7
"F",22,19,4.16666666666667,3,3.25,3.2
"F",25,24,2.25,4,2.125,3.3
"F",20,28,3.33333333333333,3.25,2.875,3.9
"M",24,21,3.08333333333333,3.5,1.5,3.3
"F",20,24,2.75,3.5,2.5,3
"M",21,24,3.25,3.83333333333333,3.25,3.7
"F",20,20,4,2.91666666666667,3.625,2.5
"F",20,19,3.58333333333333,2.16666666666667,3.875,2.9
"M",31,30,4.08333333333333,1.66666666666667,3.875,3.9
"F",20,22,4.25,2.08333333333333,2.375,3.6
"F",22,16,3.41666666666667,2.83333333333333,3,2.9
"F",22,16,3.08333333333333,3.41666666666667,3.375,2.1
"M",21,19,3.5,3.33333333333333,2.75,3.1
"M",22,30,3.66666666666667,2.58333333333333,4.5,4
"F",21,23,4.25,2.83333333333333,2.625,3.1
"F",21,19,4.25,3.33333333333333,2.75,2.3
"F",21,18,3.83333333333333,3,3.25,2.8
"F",21,28,4.41666666666667,2.58333333333333,4.125,3.7
"F",20,21,3.5,2.41666666666667,3.375,2.6
"F",21,19,3.58333333333333,3.58333333333333,2.75,2.4
"F",25,27,3.66666666666667,2.08333333333333,4.125,3
"M",21,24,2.08333333333333,4.33333333333333,3.25,2.8
"F",24,21,4.25,2.66666666666667,2.875,2.9
"F",20,20,3.58333333333333,3,2.875,2.4
"M",21,28,4,2.66666666666667,2.375,3.1
"F",20,12,3.33333333333333,2.16666666666667,3.875,1.9
"F",20,21,3.5,2.66666666666667,2.125,2
"F",18,28,3.16666666666667,2.25,4,3.8
"F",21,31,3.58333333333333,2.66666666666667,3.25,3.4
"F",19,18,3.41666666666667,3.33333333333333,2.625,3.7
"F",21,25,4.25,3.5,2.75,2.9
"F",20,19,3.25,2.75,4,2.3
"M",21,21,4.41666666666667,2,3,4.1
"F",20,16,3.25,2.83333333333333,3.375,2.7
"F",21,7,3.91666666666667,3.5,3.875,3.5
"F",20,21,3.58333333333333,2.5,3.25,3.4
"F",18,17,4.5,3.16666666666667,3.375,3.2
"M",22,22,3.58333333333333,3.08333333333333,4.125,3.3
"F",22,18,3.66666666666667,2.91666666666667,3.5,3.3
"M",24,25,2.58333333333333,3.16666666666667,2,3.5
"F",19,24,4.16666666666667,2.5,3.625,3.2
"F",20,23,3.25,3.83333333333333,3.375,3.1
"F",20,23,4.33333333333333,2.25,2.125,2.8
